,pib,clear_position,sphere,viol_sum,insp_count,short_name
7289,Резніченко Станіслав Вячеславович,провідний інспектор,Державна служба України з надзвичайних ситуацій,214.0,16,ДСНС
7290,Резніченко Євген Олегович,провідний інспектор,Державна служба України з надзвичайних ситуацій,358.0,1,ДСНС
7291,Рейко Володимир Евгенович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,7.0,1,ДСНС
7292,Рейко Володимир Євгенійович,заступник начальника управління,Державна служба України з надзвичайних ситуацій,84.0,21,ДСНС
7293,Реколца Микола Георгійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,613.0,20,ДСНС
7294,Рекунова В.В.,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,16.0,3,Держпродспоживслужба
7295,Рекунова Вікторія Володимирівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,101.0,104,Держпродспоживслужба
7296,Ремарчук І.В.,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,82,Держпродспоживслужба
7297,Ремарчук Ігор Вячеславович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,30,Держпродспоживслужба
7298,Ремесло Андрій Володимирович,начальник відділу,Державна екологічна інспекція України,4.0,6,Держекоінспекція
7299,Реміняка Оксана Вікторівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,8.0,23,Держпродспоживслужба
7300,Ренькас Володимир Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,281.0,50,ДСНС
7301,Репецька Людмила Станіславівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,34.0,26,Держпродспоживслужба
7302,Ретьман Світлана Михайлівна,начальник відділу,Відділи праці органів місцевого самоврядування,3.0,18,ВП ОМС
7303,Реутова О. І.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,19,Держпродспоживслужба
7304,Реутова Олена Іванівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
7305,Реуцький Іван Володимирович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,3,Держпродспоживслужба
7306,Реуцькова Оксана Євгеніївна,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,4,Держпродспоживслужба
7307,Решетар Віталій Васильвич,провідний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",1.0,7,Держгеокадастр
7308,Решетняк Анастасія Юріївна,провідний інспектор,Державна служба України з надзвичайних ситуацій,476.0,9,ДСНС
7309,Решетняк Вадим Анатолійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,7,Держпродспоживслужба
7310,Решетнікова Ганна Василівна,заступник начальника відділу,Державна служба України з питань праці,552.0,27,Держпраці
7311,Решетова Євгенія Дмитрівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",1.0,2,Держгеокадастр
7312,Рибак В. П.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,4,Держпродспоживслужба
7313,Рибак Валентин Миколайович,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,25,Держпродспоживслужба
7314,Рибак Оксана Миколаївна,заступник начальника відділу,Пенсійний фонд України,19.0,24,ПФУ
7315,Рибак Олена Вікторівна,головний спеціаліст,Пенсійний фонд України,4.0,4,ПФУ
7316,Рибак Т.М.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,11,Держпродспоживслужба
7317,Рибак Ігор Вікторович,провідний інспектор,Державна служба України з надзвичайних ситуацій,651.0,34,ДСНС
7318,Рибалка Анатолій Олександрович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7319,Рибалка Вадим В’Ячеславович,провідний інспектор,Державна служба України з надзвичайних ситуацій,367.0,18,ДСНС
7320,Рибалка Інна Олегівна,головний спеціаліст,Державна екологічна інспекція України,31.0,4,Держекоінспекція
7321,Рибалко Олександр Віталійович,державний інспектор,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
7322,Рибальченко Максим Володимирович,головний інспектор,Державна служба України з надзвичайних ситуацій,886.0,39,ДСНС
7323,Рибачук Костянтин Володимирович,начальник відділу,Державна служба України з питань якості освіти,58.0,3,ДСЯО
7324,Рибачук Костянтин Іванович,державний інспектор,Державна екологічна інспекція України,54.0,21,Держекоінспекція
7325,Рибець Ігор Миколайович,провідний інспектор,Державна служба України з надзвичайних ситуацій,522.0,53,ДСНС
7326,Рибка В.І.,провідний інспектор,Державна служба України з надзвичайних ситуацій,8.0,2,ДСНС
7327,Рибіцька Оксана Володимирівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,13.0,18,Держпродспоживслужба
7328,Риб’Янець Юрій Юрійович,головний інспектор,Державна служба України з надзвичайних ситуацій,294.0,8,ДСНС
7329,Ривкач Ірина Олексіївна,державний інспектор,Державна екологічна інспекція України,190.0,24,Держекоінспекція
7330,Ридван Людмила Іванівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,27,Держпродспоживслужба
7331,Риженко Артем Олегович,головний інспектор,Державна служба України з надзвичайних ситуацій,395.0,22,ДСНС
7332,Рижих Ірина Анатоліївна,інспектор,Державна служба України з надзвичайних ситуацій,7.0,2,ДСНС
7333,Рижко Дмитро Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,244.0,15,ДСНС
7334,Рижко-Семенюк Сніжана Михайлівна,головний спеціаліст,Державна служба України з питань якості освіти,3.0,1,ДСЯО
7335,Рижкова А.Є.,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,5,Держпродспоживслужба
7336,Рижкова Анастасія Євгенівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,18,Держпродспоживслужба
7337,Рижкова Вікторія Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,30,Держпродспоживслужба
7338,Рижонок Віталій Віталійович,інспектор,Державна служба України з надзвичайних ситуацій,71.0,4,ДСНС
7339,Рильчук Святослав Юрійович,головний державний інспектор,Державна служба України з питань праці,223.0,15,Держпраці
7340,Римар Андрій Миколайович,головний спеціаліст,Пенсійний фонд України,25.0,27,ПФУ
7341,Римаренко В. І.,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
7342,Римарчук Дмитро Дмитрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,564.0,58,ДСНС
7343,Ринда Олег Віталійович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,15.0,7,Держпродспоживслужба
7344,Риндич Яна Юріївна,провідний інспектор,Державна служба України з надзвичайних ситуацій,174.0,37,ДСНС
7345,Ринковенко Дмитро Валерійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,12.0,4,Держпродспоживслужба
7346,Ричка Валентина Юхимівна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,6,Держпродспоживслужба
7347,Ришкевич Наталія Володимирівна,головний спеціаліст,Пенсійний фонд України,23.0,25,ПФУ
7348,Рищук Андрій Іванович,провідний спеціаліст,Пенсійний фонд України,13.0,13,ПФУ
7349,Робулець С. В.,старший державний інспектор,Державна екологічна інспекція України,5.0,2,Держекоінспекція
7350,Ровдич Тарас Романович,головний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,0.0,4,УДАБК ОМС
7351,Ровенчак Світлана Володимирівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,29.0,39,Держпродспоживслужба
7352,Ровнін Д.А.,державний інспектор,Державна екологічна інспекція України,20.0,19,Держекоінспекція
7353,Роганова Ганна Володимирівна,головний державний інспектор,Державна служба України з питань праці,2.0,3,Держпраці
7354,Рогачко Ігор Валентинович,державний інспектор,Державна екологічна інспекція України,3.0,2,Держекоінспекція
7355,Рогова Ольга Валентинівна,державний інспектор,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
7356,Роговніна Жанна Володимирівна,головний спеціаліст,Пенсійний фонд України,20.0,26,ПФУ
7357,Роговська Олеся Миколаївна,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",12.0,4,Держгеокадастр
7358,Роговський Ю.М.,провідний інспектор,Державна служба України з надзвичайних ситуацій,209.0,18,ДСНС
7359,Рогозинська Тетяна Олегівна,провідний фахівець,Державна служба України з надзвичайних ситуацій,463.0,10,ДСНС
7360,Рогуля Наталя Жоржівна,головний інспектор,Державна служба України з надзвичайних ситуацій,16.0,3,ДСНС
7361,Рогутько Сергій Петрович,державний інспектор,Державна служба України з надзвичайних ситуацій,108.0,6,ДСНС
7362,Рогіз Віта Олексіївна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,14,Держпродспоживслужба
7363,Рогізна Людмила Миколаївна,заступник начальника відділу,Державна служба України з питань праці,60.0,71,Держпраці
7364,Роденко Олена Сергіївна,державний інспектор,Державна екологічна інспекція України,377.0,45,Держекоінспекція
7365,Родний Станіслав Олександрович,головний державний інспектор,Державна служба України з питань праці,542.0,24,Держпраці
7366,Родосолович Катерина Юріївна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7367,Родіонов Руслан Ігорович,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,29.0,80,Держпродспоживслужба
7368,Рождественська Л.Й.,державний інспектор,Державна екологічна інспекція України,3.0,1,Держекоінспекція
7369,Рожков Дмитро Олександрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,8,Держпродспоживслужба
7370,Рожкін О.С.,головний державний інспектор,Державна служба України з питань праці,180.0,6,Держпраці
7371,Рожкін Олександр Сергійович,головний державний інспектор,Державна служба України з питань праці,320.0,19,Держпраці
7372,Рожок Василь Васильович,головний державний інспектор,Державна служба України з питань праці,1668.0,51,Держпраці
7373,Рожок Володимир Андрійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,107.0,32,ДСНС
7374,Розалюк Володимир Теофілович,головний державний інспектор,Державна служба України з питань праці,544.0,36,Держпраці
7375,Роздорожний Віталій Олександрович,начальник відділу,Державна служба України з питань праці,25.0,28,Держпраці
7376,Розкладій Павло Юрійович,головний інспектор,Державна служба України з надзвичайних ситуацій,1968.0,77,ДСНС
7377,Розломій Олександр Михайлович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,39.0,15,Держпродспоживслужба
7378,Розман С.С.,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,8,Держпродспоживслужба
7379,Розмириця Тетяна Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,5,Держпродспоживслужба
7380,Розумієнко В'Ячеслав Вікторович,головний державний інспектор,Державна служба України з питань праці,51.0,6,Держпраці
7381,Ройко Олег Ігорович,головний спеціаліст,Державна екологічна інспекція України,6.0,2,Держекоінспекція
7382,Рокст Любов Василівна,головний спеціаліст,Пенсійний фонд України,8.0,10,ПФУ
7383,Рокунець Тарас Володимирович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7384,Ромаза Геннадій Олексійович,головний спеціаліст,Пенсійний фонд України,11.0,14,ПФУ
7385,Роман Леся Зеновіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,49,Держпродспоживслужба
7386,Роман Наталія Петрівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",5.0,4,Держгеокадастр
7387,Роман О. І.,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,19.0,16,Держпродспоживслужба
7388,Романенко А.В.,головний державний інспектор,Державна служба України з питань праці,274.0,53,Держпраці
7389,Романенко Артем Васильович,головний спеціаліст,Міністерство внутрішніх справ України,4.0,5,МВС
7390,Романенко Володимир Петрович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,8,Держпродспоживслужба
7391,Романенко Ганна Олександрівна,начальник групи організації,Державна служба України з надзвичайних ситуацій,286.0,21,ДСНС
7392,Романенко Людмила Григорівна,головний спеціаліст,Пенсійний фонд України,10.0,11,ПФУ
7393,Романенко Людмила Данилівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,28.0,27,Держпродспоживслужба
7394,Романенко Марина Іванівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,38,Держпродспоживслужба
7395,Романенко Світлана Миколаївна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,15.0,6,Держпродспоживслужба
7396,Романенко Іван Анатолійович,головний державний інспектор,Державна служба України з питань праці,2590.0,60,Держпраці
7397,Романець С.І.,завідувач сектору,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7398,Романишин Мирослав Володимирович,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,19,Держпродспоживслужба
7399,Романишин Наталія Юріївна,головний спеціаліст,Пенсійний фонд України,18.0,20,ПФУ
7400,Романк Оксана Іванівна,провідний спеціаліст,Пенсійний фонд України,8.0,8,ПФУ
7401,Романов Олександр Леонідович,головний державний інспектор,Державна служба України з питань праці,557.0,60,Держпраці
7402,Романова Світлана Пірвагідівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,41,Держпродспоживслужба
7403,Романович Марія Іванівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,11,Держпродспоживслужба
7404,Романович Р.В.,провідний інспектор,Державна служба України з надзвичайних ситуацій,3.0,1,ДСНС
7405,Романович Ростислав Володимирович,провідний інспектор,Державна служба України з надзвичайних ситуацій,246.0,24,ДСНС
7406,Романченко Надія Анатоліївна,державний інспектор,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7407,Романченко Роман Олександрович,старший державний інспектор,Державна служба України з безпеки на транспорті,11.0,3,Укртрансбезпека
7408,Романчук Андрій Станіславович,головний державний інспектор,Державна служба України з питань праці,2471.0,64,Держпраці
7409,Романчук Ольга Михайлівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",1.0,1,Держгеокадастр
7410,Романюк Андрій Михайлович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",5.0,5,Держгеокадастр
7411,Романюк Володимир Андрійович,головний інспектор,Державна служба України з надзвичайних ситуацій,907.0,52,ДСНС
7412,Романюк Віталій Романович,інспектор,Державна служба України з питань праці,0.0,16,Держпраці
7413,Романюк Микола Олексійович,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,27,Держпродспоживслужба
7414,Романюк Надія Степанівна,головний спеціаліст,Пенсійний фонд України,22.0,22,ПФУ
7415,Романюк Олег Васильович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,48,Держпродспоживслужба
7416,Романюк Олена Віталіївна,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,43.0,18,Держпродспоживслужба
7417,Романюк Тетяна Василівна,головний державний інспектор,Державна служба України з питань праці,23.0,40,Держпраці
7418,Романюк Тетяна Ростиславівна,головний спеціаліст,Пенсійний фонд України,11.0,11,ПФУ
7419,Романюк Юрій Миколайович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,5.0,11,Держпродспоживслужба
7420,Романів Максим Михайлович,провідний інспектор,Державна служба України з надзвичайних ситуацій,367.0,40,ДСНС
7421,Романій О.М.,провідний інспектор,Державна служба України з надзвичайних ситуацій,114.0,8,ДСНС
7422,Ромасюк Любов Дмитрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
7423,Ромашко Артем Олександрович,начальник сектору,Державна служба України з надзвичайних ситуацій,364.0,25,ДСНС
7424,Роменська Дар'Я Романівна,фахівець,Державна служба України з надзвичайних ситуацій,0.0,1,ДСНС
7425,Роменський С.О.,головний державний інспектор,Державна служба України з питань праці,53.0,7,Держпраці
7426,Роменський Станіслав Олегович,головний державний інспектор,Державна служба України з питань праці,309.0,14,Держпраці
7427,Ромець Юрій Олексійович,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,39,Держпродспоживслужба
7428,Ронін Олександр Михайлович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",23.0,9,Держгеокадастр
7429,Ронін Олександр Михайлович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",41.0,20,Держгеокадастр
7430,Ропак Вікторія Олександрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
7431,Ропій Юрій Борисович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",4.0,3,Держгеокадастр
7432,Роскошний Олег Олегович,державний інспектор,Державна служба України з надзвичайних ситуацій,984.0,23,ДСНС
7433,Россол Олександр Олегович,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,24.0,16,Держпродспоживслужба
7434,Россоха Вадім Вікторович,головний державний інспектор,Державна служба України з питань праці,0.0,2,Держпраці
7435,Ротань Іван Васильович,головний державний інспектор,Державна служба України з питань праці,641.0,22,Держпраці
7436,Ротар Катерина Вікторівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
7437,Ротар Марта Василівна,провідний спеціаліст,Пенсійний фонд України,21.0,21,ПФУ
7438,Ротар Олександр Семенович,головний державний інспектор,Державна служба України з надзвичайних ситуацій,447.0,56,ДСНС
7439,Ротар Тетяна Валентинівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
7440,Ротаєнко Юрій Михайлович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,21.0,5,Держпродспоживслужба
7441,Рохман Борис Станіславович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,2,Держпродспоживслужба
7442,Рочняк Володимир Анатолійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,5,Держпродспоживслужба
7443,Рочняк Віктор Володимирович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",6.0,3,Держгеокадастр
7444,Рошко Олена Павлівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,6,Держпродспоживслужба
7445,Роїк Володимир Миколайович,інспектор,Державна служба України з питань праці,3.0,6,Держпраці
7446,Роїк Віталій Юрійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,4,Держпродспоживслужба
7447,Рубайко Олена Вікторівна,головний державний інспектор,Державна служба України з питань праці,0.0,1,Держпраці
7448,Рубан Валентина Федорівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",2.0,3,Держгеокадастр
7449,Рубан Костянтин Олександрович,головний державний інспектор,Державна служба України з питань праці,19.0,55,Держпраці
7450,Рубан Юлія Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,5,Держпродспоживслужба
7451,Рубан Євгеній Федорович,головний державний інспектор,Державна служба України з питань праці,12.0,29,Держпраці
7452,Рубашко Євген Володимирович,начальник відділу,Державна екологічна інспекція України,135.0,19,Держекоінспекція
7453,Рубець Володимир Олександрович,головний спеціаліст,Державна екологічна інспекція України,12.0,20,Держекоінспекція
7454,Рубльовська Наталія Анатоліївна,головний спеціаліст,Пенсійний фонд України,16.0,19,ПФУ
7455,Рублюк Марина Сергіївна,головний спеціаліст,Державна інспекція ядерного регулювання України,4.0,1,Держатомрегулювання
7456,Рубчев Олександр Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,12.0,9,ДСНС
7457,Рудаков Вячеслав Володимирович,державний інспектор,Державна екологічна інспекція України,176.0,16,Держекоінспекція
7458,Рудаков Ігор Олександрович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,8.0,4,Держпродспоживслужба
7459,Рудакова Оксана Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,8.0,19,Держпродспоживслужба
7460,Рудаченко Тетяна Олександрівна,головний державний інспектор,Державна служба України з питань праці,21.0,24,Держпраці
7461,Руденко Вячеслав Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,178.0,24,ДСНС
7462,Руденко Віта Леонідівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,6,Держпродспоживслужба
7463,Руденко Віталій Петрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
7464,Руденко Едуард Володимирович,провідний інспектор,Державна служба України з надзвичайних ситуацій,227.0,14,ДСНС
7465,Руденко Емма Володимирівна,заступник начальника відділу,Пенсійний фонд України,69.0,88,ПФУ
7466,Руденко Лілія Вікторівна,головний спеціаліст,Пенсійний фонд України,7.0,7,ПФУ
7467,Руденко Надія Василівна,заступник начальника відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,12.0,4,Держпродспоживслужба
7468,Руденко Оксана Вікторівна,головний державний інспектор,Державна служба України з питань праці,4.0,14,Держпраці
7469,Руденко Олександр Вікторович,державний інспектор,Державна екологічна інспекція України,31.0,8,Держекоінспекція
7470,Руденко Роман Вадимович,головний інспектор,Державна служба України з надзвичайних ситуацій,1213.0,68,ДСНС
7471,Руденко Світлана Павлівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,20.0,4,Держпродспоживслужба
7472,Руденко Сергій Миколайович,головний інспектор,Державна служба України з питань праці,6.0,39,Держпраці
7473,Руденко Сергій Павлович,заступник начальника інспекції,Державна екологічна інспекція України,51.0,3,Держекоінспекція
7474,Рудень Євген Віталійович,головний інспектор,Державна служба України з надзвичайних ситуацій,27.0,1,ДСНС
7475,Рудий Сергій Сергійович,головний державний інспектор,Державна служба України з питань праці,406.0,22,Держпраці
7476,Рудик Богдан Сергійович,провідний фахівець,Державна служба України з надзвичайних ситуацій,739.0,55,ДСНС
7477,Рудик Богдан Іванович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",0.0,3,Держгеокадастр
7478,Рудик Владислав Анатолійович,фахівець,Державна служба України з надзвичайних ситуацій,166.0,11,ДСНС
7479,Рудик Михайло Миколайович,головний державний інспектор,Державна служба України з питань праці,15.0,40,Держпраці
